"result #"	"search engine"	query	"article title"	"article url"	"article description"	"total nr of results (best guess)"
28	duckduckgo	"democratic candidates 2024"	"Top 10 Democratic 2024 presidential candidates (besides Biden), ranked ..."	https://www.washingtonpost.com/politics/2023/04/25/top-10-democrats-president-rankings-biden/	"This post has been updated with news about Sen. Bernie Sanders's (I-Vt.) intentions. At long last, we have a major candidate in the 2024Democratic presidential primary. It's a guy whom only ..."	0
29	duckduckgo	"democratic candidates 2024"	"Ranking the Democrats who could run for president in 2024"	https://thehill.com/homenews/campaign/3731647-ranking-the-democrats-who-could-run-for-president-in-2024/	"Some Democrats still aren't convinced he's the right guy for 2024. Exit polls showed that two-thirds of voters don't want him to run for reelection. Biden has made the case that if former ..."	0
30	duckduckgo	"democratic candidates 2024"	"Who's running for president in 2024 and who has dropped out"	https://abcnews.go.com/Politics/running-president-2024/story?id=96849127	"Jack Gruber-USA Today. A 75-year-old Michigan businessman, Johnson launched his presidential campaign for the 2024 Republican nomination amid the 2023 Conservative Political Action Conference that ..."	0
31	duckduckgo	"democratic candidates 2024"	"Democratic Party primaries in Michigan, 2024 - Ballotpedia"	https://ballotpedia.org/Democratic_Party_primaries_in_Michigan,_2024	"This page focuses on the Democratic primaries that will take place in Michigan on August 6, 2024. A primary election is an election in which registered voters select a candidate that they believe should be a political party's candidate for elected office to run in the general election. They are also used to choose convention delegates and party leaders."	0
32	duckduckgo	"democratic candidates 2024"	"2024 Democratic Presidential Candidates: Who Is Running?"	https://www.teenvogue.com/story/2024-democratic-presidential-candidates-who-is-running	"October 10, 2023. Leigh Vogel. The Democratic Party has largely coalesced around President Joe Biden since he launched his reelection campaign in April, even though, in the lead-up to his ..."	0
33	duckduckgo	"democratic candidates 2024"	"If Biden doesn't run in 2024, here are the main rivals for the ..."	https://theconversation.com/if-biden-doesnt-run-in-2024-here-are-the-main-rivals-for-the-democratic-nomination-199151	"If Biden does not run, the 2024Democratic primaries would become a much more open contest. And there are several potential candidates. Kamala Harris. As the current vice president, Kamala Harris ..."	0
34	duckduckgo	"democratic candidates 2024"	"10 Democrats who could run in 2024 if Biden doesn't | The Hill"	https://thehill.com/homenews/campaign/586948-ten-democrats-who-could-run-in-2024-if-biden-doesnt/	"The 2022 midterm elections are less than a year away, but questions are already being raised about what the Democratic ticket will look like in 2024. The White House has repeatedly said that Presid…"	0
35	duckduckgo	"democratic candidates 2024"	"Who Is Running for President in 2024? - People.com"	https://people.com/politics/2024-presidential-candidates/	"Nathan Howard/Getty. Age: 80. Party: Democratic. Candidacy: Confirmed. Less than two months after his 2021 inauguration, President Joe Biden announced his intention to run for reelection in 2024 ..."	0
36	duckduckgo	"democratic candidates 2024"	"Democratic Party primaries in Pennsylvania, 2024 - Ballotpedia"	https://ballotpedia.org/Democratic_Party_primaries_in_Pennsylvania,_2024	"This page focuses on the Democratic primaries that will take place in Pennsylvania on April 23, 2024. A primary election is an election in which registered voters select a candidate that they believe should be a political party's candidate for elected office to run in the general election. They are also used to choose convention delegates and party leaders."	0
37	duckduckgo	"democratic candidates 2024"	"Ranking the 2024 Democratic field | CNN Politics"	https://www.cnn.com/2022/06/17/politics/joe-biden-kamala-harris-2024-democratic-field/index.html	"Buttigieg is among the most natural politicians in the Democratic Party and, at age 40, can afford to wait if the 2024 or even 2028 field doesn't look promising for him. 3."	0
38	duckduckgo	"democratic candidates 2024"	"The Democrats running against Biden in 2024 | The Week"	https://theweek.com/joe-biden/1015407/democrats-challenge-biden-2024	"Pete Buttigieg: In a ranking of the ""most likely Democraticcandidates for president in 2024"" from The Washington Post's Aaron Blake, Transportation Secretary Pete Buttigieg should come in second ..."	0
39	duckduckgo	"democratic candidates 2024"	"2024 United States presidential election - Wikipedia"	https://en.wikipedia.org/wiki/2024_United_States_presidential_election	"The 2024 United States presidential election will be the 60th quadrennial presidential election, scheduled for Tuesday, November 5, 2024. Voters will elect a president and vice president for a term of four years. Incumbent President Joe Biden, a member of the Democratic Party, is running for re-election. His predecessor Donald Trump, a member of the Republican Party, is running for re-election ..."	0
40	duckduckgo	"democratic candidates 2024"	"United States Senate election in Texas, 2024 - Ballotpedia"	https://ballotpedia.org/United_States_Senate_election_in_Texas,_2024	"Voters in Texas will elect one member to the U.S. Senate in the general election on November 5, 2024. The primary is March 5, 2024, and a primary runoff is May 28, 2024. The filing deadline was December 11, 2023. The election will fill the Class I Senate seat held by Ted Cruz (R), who first took office in 2013.. Ballotpedia identified the March 5 Democratic primary as a battleground primary."	0
41	duckduckgo	"democratic candidates 2024"	"Official List of Candidates for 2024 South Carolina Democratic Party ..."	https://scdp.org/scdp-news/press-releases/official-list-of-candidates-for-2024-south-carolina-democratic-party-presidential-primary/	"The South Carolina Democratic Party's presidential primary filing period closed on Friday, November 10th at Noon. Tonight, the Party's Executive Council certified the following candidates to participate in our historic first in the nation primary on February 3, 2024. Per state law, SCDP Chair Christale Spain will transmit the approved candidates to the South Carolina […]"	0
42	duckduckgo	"democratic candidates 2024"	"Democratic Rep. Dean Phillips launches 2024 White House bid in ..."	https://abcnews.go.com/Politics/democratic-rep-dean-phillips-launches-2024-white-house/story?id=104352110	"Rep. Dean Phillips is running to be the Democratic nominee for president in 2024. The three-term Minnesota congressman will challenge President Joe Biden for the Democratic nomination in 2024 -- a ..."	0
43	duckduckgo	"democratic candidates 2024"	"The top 10 Democratic presidential contenders in 2024 - YouTube"	https://www.youtube.com/watch?v=r-bNPQ27FiY	"In today's episode of The Point, CNN's Chris Cillizza ranks the ten Democrats who are most likely be the party's presidential nominee in 2024. #CNN #Cillizza..."	0
44	duckduckgo	"democratic candidates 2024"	"Democratic Party primaries in North Carolina, 2024 - Ballotpedia"	https://ballotpedia.org/Democratic_Party_primaries_in_North_Carolina,_2024	"This page focuses on the Democratic primaries that will take place in North Carolina on March 5, 2024. A primary election is an election in which registered voters select a candidate that they believe should be a political party's candidate for elected office to run in the general election. They are also used to choose convention delegates and party leaders."	0
45	duckduckgo	"democratic candidates 2024"	"2024 Democratic Nominee Odds: U.S. Election | Odds Shark"	https://www.oddsshark.com/politics/democratic-nominee-odds	"2024Democratic Nominee Odds: It's Biden's Party. As it stands now in the field for the Democratic Nomination we have three candidates. Current President Joe Biden, environmental lawyer Robert Kennedy Jr. and self-help guru Marianne Williamson. Biden is the runaway favorite at -500. An 83% implied odd of winning."	0
46	duckduckgo	"democratic candidates 2024"	"2024 Democratic Candidates - Nebraska Democratic Party"	https://nebraskademocrats.org/2024candidates/	"General Election Nov. 5, 2024. We are fielding candidates for seats up and down the ballot. We do support some Independent (nonpartisan/NP) candidates. It takes Democrats, Independents, and ""enlightened Republicans"" (as Sen. Nelson says) to move forward. We allow Independents to vote in our partisan primaries. If you are interested in ..."	0
47	duckduckgo	"democratic candidates 2024"	"Biden is building his 2024 reelection bid around an organization Obama ..."	https://apnews.com/article/biden-2024-democrats-dnc-state-parties-ac8fba0ab1117ebf75cc16ebe0c735e4	"WASHINGTON (AP) — President Joe Biden is staking his reelection bid on the political and financial muscle of the Democratic National Committee. As it prepares for a bruising 2024 contest, his campaign plans to raise and spend around $2 billion. But it will do so in coordination with the national and state Democratic parties, in an effort to ..."	0
48	duckduckgo	"democratic candidates 2024"	"2024 US presidential election: who is in, who is out and who is still ..."	https://www.reuters.com/world/us/2024-us-presidential-election-whos-whos-out-whos-still-thinking-about-it-2023-04-19/	"Republican U.S. Senator Tim Scott on Friday entered the 2024 presidential race, joining Donald Trump in the growing list of Republicans seeking to unseat Democratic President Joe Biden."	0
49	duckduckgo	"democratic candidates 2024"	"United States Senate Democratic Party primaries, 2024"	https://ballotpedia.org/United_States_Senate_Democratic_Party_primaries,_2024	"There are 3 U.S. Senate Democratic battleground primaries in 2024. United States Senate election in Delaware, 2024 (September 10 Democratic primary) United States Senate election in Maryland, 2024 (May 14 Democratic primary) United States Senate election in Texas, 2024 (March 5 Democratic primary) The following map shows each state with a ..."	0
